GameID,ShooterID,EventID,CnS,Points,TimeCns,v_CnS,dist_at_shot,shot_angle,shooter_move_angle,shooter_travel,DefID,def_dist_at_shot,def_avg_vel,SpeedBeforeShot0.5s,SBS1.0s,SBS1.5s,SBS2.0s,SBS2.5s,SBS3.0s,SBS3.5s,SBS4.0s,SBS4.5s,SBS5.0s,SpeedBeforeCatch0.5s,SBC1.0s,SBC1.5s,SBC2.0s,SBC2.5s,SBC3.0s,SBC3.5s,SBC4.0s,SBC4.5s,SBC5.0s
21500617,203081,264,FALSE,3,5.96,9.99387362,25.02802913,45.42292393,60.14219775,45.4612729,101162,4.67957337,2.338745708,13.01078422,13.71014432,12.87422401,11.40901595,10.35663545,10.15712998,10.21525301,10.33485031,10.45697497,10.41778169,6.899283624,7.532109691,7.054580399,6.388998088,6.154835163,6.588117339,7.38648029,,,
21500617,1626162,265,TRUE,0,0.36,4.462845406,22.57605886,8.82777809,124.3287091,-0.844245113,202329,16.74147052,5.719298159,,,,,,,,,,,8.333858446,10.86191803,11.97488014,12.77817802,13.21653042,13.41184108,13.16745318,12.7718913,12.6056625,12.73173145
21500617,203081,275,FALSE,0,8.64,7.336471144,24.89080554,44.65140842,72.01155164,45.67194705,1626162,5.221547103,2.018443832,5.310688193,4.516592176,4.092575335,3.469592561,3.093603019,2.703213762,2.832957685,3.289322556,3.928650959,4.46538547,10.4375582,10.10132657,8.614213868,7.323727339,6.252037234,5.540582306,4.984935204,4.893771795,5.293651405,
21500617,202329,281,TRUE,3,0.76,3.182188064,23.91936114,48.15588823,103.8092986,-0.355428435,1626162,7.406946722,8.823367833,2.08581649,,,,,,,,,,2.964014786,2.071082165,1.405254723,1.312261987,1.936948354,1.856738347,2.166056245,2.15714509,2.653027054,3.438207574
21500617,203468,290,TRUE,3,0.32,7.706397306,25.5018697,43.2508713,52.17176454,1.58154967,202390,8.753767023,1.188943677,,,,,,,,,,,6.543075098,5.175339289,4.488224496,4.057065873,4.124138246,5.665665902,6.946099486,7.030676612,6.678592782,6.464459773
21500617,203468,294,TRUE,3,0.2,2.71767465,25.6860151,43.69743578,74.50912327,0.149706681,2403,13.374589,11.1345769,,,,,,,,,,,1.370057197,1.55107992,1.970381094,2.018367446,1.71270421,1.564103818,1.508248978,1.542136122,1.496813574,1.546939893
21500617,203459,306,TRUE,3,0.56,4.837036895,23.7809499,44.06690536,94.2346003,-0.047104158,202322,10.92141284,-6.271610059,4.806639847,,,,,,,,,,4.090009483,5.659212699,4.633992465,4.206956883,3.895365056,3.624688577,3.339546227,3.166946862,2.882754294,2.813470307
21500617,203468,308,FALSE,0,1.12,10.31978734,25.41016477,42.9682743,71.50385871,5.383780601,202322,3.2595786,5.526610823,9.470408364,10.3961501,,,,,,,,,7.036416181,8.193138916,9.255430114,9.764760371,10.00198644,9.819975362,9.712147985,9.421694011,8.606739042,8.260414067
21500617,203078,320,FALSE,3,1.28,8.454901059,24.09777099,45.05830711,107.1113154,-0.82063881,203459,6.858691243,0.139724983,8.322753316,8.348502275,,,,,,,,,13.72322329,14.81938608,15.27105457,15.07605853,14.7270676,14.46695825,14.00605283,13.02192257,11.73942405,11.21858925
21500617,202322,349,TRUE,3,0.36,7.264946214,26.64549708,42.09985042,8.746185215,2.586994863,201945,12.91143972,6.324967836,,,,,,,,,,,10.21127573,12.24592509,13.65889602,14.26732274,14.50231267,14.37073406,14.0830557,13.89051182,13.5281443,12.86174212
21500617,203086,350,TRUE,3,0.36,1.01932154,25.28610455,12.48252783,43.76433431,0.213352927,2403,10.6720659,9.551384591,,,,,,,,,,,2.272366774,3.293396991,3.540057499,3.204630366,2.805492274,2.578432482,2.43787622,2.510164302,2.496862468,2.404706311
21500617,202322,351,TRUE,0,1.56,5.786059086,25.95786925,42.29091295,68.11853005,4.414456411,203086,7.481108298,6.428717779,5.214032932,6.280739136,5.891005363,,,,,,,,1.013005009,0.750655147,0.743886154,1.011848818,0.943626745,1.032597038,1.018526369,1.02515391,1.23558348,1.407785083
21500617,203086,353,TRUE,3,0.84,0.869061561,23.45441467,8.632907544,95.49817547,-0.03595181,2403,16.53628378,1.779489938,0.425320081,,,,,,,,,,2.112167237,1.888803929,1.592171604,1.50423365,1.554270569,1.440509022,1.330549257,1.276796729,1.213806088,1.161991563
21500617,203078,392,FALSE,0,0.76,7.716397975,23.68910742,43.88951959,102.1974421,-0.53002447,203459,6.209537598,2.294122294,7.066108686,,,,,,,,,,13.45524543,15.09995185,16.68248736,16.83272178,16.22577544,15.04572032,13.25306024,11.84136058,11.11762693,10.90993663
21500617,203468,403,FALSE,3,1.28,7.013143588,25.97392263,39.0294357,78.20494034,3.06010077,201196,4.135671646,3.831575102,9.09223306,8.071160378,,,,,,,,,3.804047984,2.458279465,1.827512243,1.919279,2.560833049,3.240097871,4.094323402,4.49008552,4.346332277,4.281614337
21500617,201945,411,TRUE,0,1.04,2.299534375,26.05082313,44.59817267,27.51148102,2.069943189,203078,11.51484977,-3.504218065,3.74949313,2.384806614,,,,,,,,,2.626636882,4.74817472,6.014954933,6.714095471,7.111686185,7.343004141,7.085276302,6.387000142,5.781537659,5.362947949
21500617,203081,426,FALSE,0,4.28,4.36480824,26.47186147,42.01269413,86.57828885,3.238309538,201196,5.002731857,0.295629322,2.104957906,3.693204643,4.259838506,4.07505557,3.752400188,4.202120712,4.28444093,4.15318627,,,6.452914857,4.696329265,5.607273712,6.321594858,6.791093378,6.91953,6.918542834,7.055964722,7.271950537,7.446817186
21500617,202066,429,TRUE,3,0.32,1.113956898,24.05973706,11.62642227,158.1253235,-0.193151027,203459,10.08826952,7.071252004,,,,,,,,,,,2.968278215,2.935038781,3.031798009,2.650592669,2.378132766,2.14857477,2.018622438,1.9953638,1.97196636,2.158855597
21500617,203086,430,FALSE,0,1.6,3.635774193,27.1762853,31.06710388,120.7003585,-1.034016339,201162,2.247543579,5.210373775,5.508891746,4.116836113,3.728225716,,,,,,,,1.775122913,2.424047733,2.666789017,2.541861324,2.369574201,2.256608448,2.06263534,1.891912349,1.777750391,1.897209231
21500617,203468,446,FALSE,0,4,5.216632305,26.82867499,42.40930234,103.4587986,0.236570463,1626162,5.041492874,3.219731105,5.623769948,5.27387143,4.484441034,5.053191539,5.590925548,5.951271829,5.550856033,,,,7.25872221,8.254810656,8.893485606,8.771079397,7.661564934,6.692278391,6.024830639,5.741848889,5.611950792,5.671565233
21500617,201196,448,TRUE,0,0.24,4.352137354,25.09947434,12.88297976,26.71595229,0.936039367,203459,13.33786142,12.3249088,,,,,,,,,,,8.845734308,11.75590056,13.73903938,14.36647751,14.55729588,14.51281545,14.01053582,13.40592653,12.70240564,11.97621276
21500617,204067,461,TRUE,0,0.44,9.503549555,25.04633961,44.99904427,76.81689952,1.268641664,202329,10.25525842,6.87757113,,,,,,,,,,,14.6160507,17.27390348,18.43899672,18.78233389,18.55399741,18.02094747,17.04845631,15.75866034,14.24981029,13.33090234
21500617,202066,476,TRUE,0,0.32,3.363153426,24.31022083,47.42987235,177.8185005,-1.065256965,201945,8.833456626,3.474693394,,,,,,,,,,,11.23866892,13.78942796,14.30996394,13.30891239,11.15758233,9.769809085,9.010942101,8.475341187,7.716231578,7.085723904
